Sn,Country,Total Case,New Case,Total Death,Total Recovered,New Covered ,Acctive Case
172,Chad,"4,951",,174 ,,"4,769",
173,Gibraltar,"4,332",,94 ,,"4,216",
174,Channel Islands,"4,150",,86 ,,"3,994",
175,Barbados,"4,052",,47 ,,"3,992",
176,Comoros,"3,912",,146 ,,"3,745",
177,Guinea-Bissau,"3,839",,69 ,,"3,567",
178,Liberia,"3,265",,110 ,,"2,222",
179,Liechtenstein,"3,030",,59 ,,"2,957",
180,New Zealand,"2,723",,26 ,,"2,673",
181,Sint Maarten,"2,585",,32 ,,"2,499",
182,Monaco,"2,557",,33 ,,"2,491",
183,Fiji,"2,549",,13 ,,636,
184,Bermuda,"2,504",,33 ,,"2,461",
185,Turks and Caicos,"2,424",,18 ,,"2,389",
186,Sao Tome and Principe,"2,363",,37 ,,"2,315",
187,St. Vincent Grenadines,"2,207",,12 ,,"1,941",
188,Saint Martin,"2,133",,12 ,,"1,399",
189,Laos,"2,076",,3 ,,"1,960",
190,Bhutan,"1,970",,1 ,,"1,702",
191,Mauritius,"1,779",,18 ,,"1,331",
192,Caribbean Netherlands,"1,634",,17 ,,"1,609",
193,Isle of Man,"1,603",,29 ,,"1,569",
194,Antigua and Barbuda,"1,263",,42 ,,"1,221",
195,St. Barth,"1,005",,1 ,,462,
196,Faeroe Islands,770,,1 ,,756,
197,Diamond Princess,712,,13 ,,699,
198,Cayman Islands,609,,2 ,,588,
199,Tanzania,509,,21 ,,183,
200,Wallis and Futuna,445,,7 ,,438,
201,Saint Kitts and Nevis,396,,3 ,,92,
202,British Virgin Islands,298,,1 ,,293,
203,Brunei ,256,,3 ,,245,
204,Dominica,191,, ,,189,
205,Grenada,161,,1 ,,160,
206,New Caledonia,129,, ,,58,
207,Anguilla,109,, ,,109,
208,Falkland Islands,63,, ,,63,
209,Macao,53,, ,,51,
210,Greenland,50,, ,,40,
211,Vatican City,27,, ,,27,
212,Saint Pierre Miquelon,26,, ,,25,
213,Montserrat,20,,1 ,,19,
214,Solomon Islands,20,, ,,20,
215,Western Sahara,10,,1 ,,8,
216,MS Zaandam,9,,2 ,,7,
217,Vanuatu,4,,1 ,,3,
218,Marshall Islands,4,, ,,4,
219,Samoa,3,, ,,3,
220,Saint Helena,2,, ,,2,
221,Micronesia,1,, ,,1,
222,China,"91,669",+16,"4,636 ",,"86,541",+38
,Total:,"40,423,582","+5,509","914,211",+368,"33,851,681","+2,823"
,Total:,"54,877,906","+10,344","775,049",+87,"52,275,002","+12,222"
,Total:,"32,067,666","+2,270","982,118",+86,"29,088,110","+2,270"
,Total:,"47,597,850","+1,026","1,095,403",+5,"45,112,857","+2,945"
,Total:,"5,330,048",,"139,506",,"4,697,800",
,Total:,"72,352",+26,"1,272",,"68,443",
,Total:,721,,15,,706,
,Total:,"180,370,125","+19,175","3,907,574",+546,"165,094,599","+20,260"
